loc_id,loc_x,loc_y,passed num,['bus_id']
1001,198917.9,452252,3,"['470', '471', 'N37']"
1002,199696.7,453297.1,18,"['100', '102', '104', '106', '107', '108', '140', '143', '150', '151', '160', '162', '171', '172', '272', '301', '6011', '710']"
1003,199853.4,453684.2,18,"['100', '102', '104', '106', '107', '108', '140', '143', '150', '151', '160', '162', '171', '172', '272', '301', '6011', '710']"
1004,198905.8,452120.4,3,"['470', '471', 'N37']"
1005,200155,454075.5,16,"['100', '102', '104', '106', '107', '108', '140', '143', '150', '151', '160', '162', '171', '172', '272', '710']"
1037,201106.2,452509.6,22,"['101', '103', '105', '144', '152', '201', '2112', '2233', '260', '261', '262', '270', '271', '370', '420', '6002', '720', '721', 'N13', 'N15', 'N26', 'N30']"
1041,201629.8,452691.6,18,"['101', '103', '105', '144', '152', '201', '2233', '260', '261', '262', '270', '271', '420', '6002', '720', 'N13', 'N15', 'N26']"
1044,201737.6,452749.1,23,"['101', '103', '105', '144', '152', '201', '2112', '2233', '260', '261', '262', '270', '271', '370', '420', '6002', '720', '721', '9403', 'N13', 'N15', 'N26', 'N30']"
1101,197294.4,454226.1,3,"['1711', '7016', '7018']"
1102,197373.9,453750.6,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1103,197330.3,454186.2,3,"['1711', '7016', '7018']"
1104,197442.7,453955.6,3,"['1020', '7022', '7212']"
1105,197572.6,454259.5,3,"['1020', '7022', '7212']"
1106,197097,454740.7,3,"['1020', '7022', '7212']"
1107,197102.7,454757.2,3,"['1020', '7022', '7212']"
1108,197568,454290.2,3,"['1020', '7022', '7212']"
1109,197452.5,453939.3,3,"['1020', '7022', '7212']"
1110,197443.1,453424.3,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1111,197472.7,453445.1,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1112,197405.3,453731.2,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1113,197172.7,452848.4,5,"['171', '272', '606', '7025', '706']"
1114,197467.2,452964.6,5,"['171', '272', '606', '7025', '706']"
1115,197544.2,453040.4,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1116,197551.9,453129.7,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1117,198122.8,452897.1,7,"['1020', '109', '171', '272', '601', '606', '7025']"
1118,197996.6,452545.3,8,"['1020', '109', '1711', '606', '7016', '7018', '706', '7212']"
1120,197913.9,452261.1,6,"['600', '602', '7019', '703', '9709', '9709empty']"
1121,197643.5,452270.1,19,"['160', '260', '270', '271', '273', '370', '470', '471', '600', '7019', '702Aseo', '702Byongdu', '703', '705', '710', '720', '721', 'N26', 'N37']"
1122,197403.3,452172.1,19,"['160', '260', '270', '271', '273', '370', '470', '471', '600', '602', '7019', '702Aseo', '702Byongdu', '705', '710', '720', '721', 'N26', 'N37']"
1123,197465.8,452279,16,"['101', '160', '260', '270', '271', '273', '370', '470', '471', '601', '704', '710', '720', '721', 'N26', 'N37']"
1124,197626.8,452310.3,4,"['271', '470', '601', '721']"
1125,197863.9,452321.4,13,"['101', '160', '260', '270', '273', '370', '470', '471', '704', '710', '720', 'N26', 'N37']"
1126,197930,452573.2,13,"['103', '150', '1711', '401', '402', '406', '700', '7016', '7018', '7022', '704', '707', '7212']"
1127,197481.3,452915.9,8,"['171', '272', '601', '606', '700', '7025', '707', '9703']"
1128,197190.2,452817.3,8,"['171', '272', '601', '606', '700', '7025', '707', '9703']"
1129,197928.2,452217.3,5,"['700', '707', '9703', '9714', '9714empty']"
1130,198407.4,452913.6,6,"['272', '401', '406', '7022', '7025', '704']"
1131,198593.1,452944.6,5,"['171', '272', '7025', '90Stour', '91Stour']"
1132,196546.7,456125.5,4,"['7022', '7211', '7212', '7730']"
1133,196575.9,455885.7,7,"['1020', '110B_kukmin', '153', '1711', '7022', '7212', '7730']"
1134,196355.3,455689.4,3,"['110B_kukmin', '153', '7730']"
1135,196341.8,455543,2,"['7016', '7018']"
1136,196618.7,455400.8,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1137,196789.6,455118.9,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1138,196806.7,454813.3,3,"['1020', '7022', '7212']"
1139,196921.8,454807.3,3,"['1020', '7022', '7212']"
1140,196819.1,455114.9,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1141,196663.6,455402.4,6,"['1020', '1711', '7016', '7018', '7022', '7212']"
1142,196401,455565.5,4,"['1020', '1711', '7022', '7212']"
1143,196374,455669.4,4,"['1020', '110A_korea', '153', '7730']"
1144,196594.7,455859.7,7,"['1020', '110A_korea', '153', '1711', '7022', '7212', '7730']"
1146,196578.8,456134.3,4,"['7022', '7211', '7212', '7730']"
1148,196142.5,456893.8,3,"['7212', '7212', '7730']"
1149,196155.8,456721.9,3,"['7212', '7212', '7730']"
1150,196133.9,456563.7,3,"['7022', '7211', '7212']"
1151,196152.1,456529.9,2,"['7022', '7211']"
1152,196338.6,456381,4,"['7022', '7211', '7212', '7730']"
1153,196389.1,456385.9,4,"['7022', '7211', '7212', '7730']"
1154,196157.6,456877.9,3,"['7212', '7212', '7730']"
1155,196780.4,456093,5,"['1020', '110B_kukmin', '153', '1711', '7211']"
1156,197001.9,456198.5,5,"['1020', '110B_kukmin', '153', '1711', '7211']"
1157,197313,456341,5,"['1020', '110B_kukmin', '153', '1711', '7211']"
1158,197616.1,456580.5,5,"['1020', '110B_kukmin', '153', '1711', '7211']"
1159,197922.3,456765,5,"['1020', '110B_kukmin', '153', '1711', '7211']"
1160,197894,456717.7,5,"['1020', '110A_korea', '153', '1711', '7211']"
1161,197606.6,456519.6,5,"['1020', '110A_korea', '153', '1711', '7211']"
1162,197358.9,456329.9,5,"['1020', '110A_korea', '153', '1711', '7211']"
1163,197141.8,456249.1,5,"['1020', '110A_korea', '153', '1711', '7211']"
1164,196893,456107.7,5,"['1020', '110A_korea', '153', '1711', '7211']"
1167,196419.5,452635.3,3,"['7025', '706', '7737']"
1168,196866.5,452084.8,7,"['171', '470', '601', '7024', '710', '750A', '750B']"
1169,197111.2,451917.2,8,"['101', '470', '471', '601', '704', '710', '720', 'N37']"
1171,196604.8,452408.9,1,['171']
1172,198993.1,453106.2,7,"['109', '151', '162', '171', '172', '272', '7025']"
1173,198257,452194.1,1,['7018']
1174,198668.5,452132.1,1,['163']
1175,199176.2,452104.6,1,['163']
1176,199690,452152.5,1,['163']
1177,199982.1,452217.1,1,['163']
1178,199997.7,452351.6,15,"['101', '103', '201', '2112', '260', '262', '270', '271', '370', '720', '721', '7212', 'N15', 'N26', 'N62']"
1179,199987.9,452351,6,"['106', '140', '143', '150', '160', '273']"
1180,199716.9,452325.1,12,"['101', '103', '140', '150', '160', '201', '271', '273', '710', '721', '7212', 'N62']"
1181,199505.6,452310.8,8,"['143', '260', '262', '270', '370', '720', 'N15', 'N26']"
1182,199192.7,452289.1,5,"['101', '103', '140', '201', '7212']"
1183,199022.8,452279.3,16,"['140', '143', '150', '160', '260', '262', '270', '271', '273', '370', '710', '720', '721', 'N15', 'N26', 'N62']"
1185,198892.4,452192.8,2,"['501', '701']"
1186,198806.6,452273.9,7,"['103', '470', '471', '501', '701', '7212', 'N37']"
1187,198713.6,452274.8,17,"['101', '143', '150', '160', '201', '260', '262', '270', '271', '273', '370', '710', '720', '721', 'N15', 'N26', 'N62']"
1188,198360.4,452273,12,"['101', '405', '471', '501', '506', '7018', '702Aseo', '702Byongdu', '720', '721', '7212', 'N37']"
1189,198262.1,452276.6,12,"['150', '160', '260', '270', '271', '273', '370', '470', '705', '710', '9701', 'N26']"
1190,198359.4,452318.2,5,"['101', '150', '601', '606', '710']"
1191,198250,452317.5,16,"['1020', '103', '109', '160', '260', '270', '271', '273', '370', '470', '471', '720', '721', '7212', 'N26', 'N37']"
1192,198669.6,452315.5,18,"['103', '150', '160', '260', '270', '271', '273', '370', '470', '471', '601', '710', '720', '721', '7212', 'N26', 'N37', 'N62']"
1193,198795.1,452317.9,7,"['101', '143', '201', '262', '9401', '9401empty', 'N15']"
1194,199110.9,452332.9,20,"['101', '103', '143', '150', '160', '201', '260', '262', '270', '271', '273', '370', '601', '710', '720', '721', '7212', 'N15', 'N26', 'N62']"
1195,199515.5,452355.6,11,"['201', '260', '262', '270', '271', '370', '720', '721', 'N15', 'N26', 'N62']"
1196,199613.1,452352.1,9,"['101', '103', '143', '150', '160', '273', '601', '710', '7212']"
1197,199916.6,452384.4,8,"['201', '260', '262', '270', '271', 'N15', 'N26', 'N62']"
1198,199764.9,452781,13,"['100', '104', '106', '140', '143', '150', '160', '2112', '273', '601', '710', 'jongro08', 'jongro12']"
1199,198929.3,453076.5,8,"['109', '151', '162', '171', '172', '272', '601', '7025']"
