버스정류장 코드,동이름,버스수
1001,서울특별시 종로구 종로1.2.3.4가동,3
1002,서울특별시 종로구 종로1.2.3.4가동,18
1003,서울특별시 종로구 혜화동,18
1004,서울특별시 종로구 종로1.2.3.4가동,3
1005,서울특별시 종로구 혜화동,16
1037,서울특별시 종로구 창신2동,22
1041,서울특별시 종로구 숭인2동,18
1044,서울특별시 종로구 숭인2동,23
1101,서울특별시 종로구 청운효자동,3
1102,서울특별시 종로구 청운효자동,6
1103,서울특별시 종로구 청운효자동,3
1104,서울특별시 종로구 청운효자동,3
1105,서울특별시 종로구 청운효자동,3
1106,서울특별시 종로구 청운효자동,3
1107,서울특별시 종로구 청운효자동,3
1108,서울특별시 종로구 청운효자동,3
1109,서울특별시 종로구 청운효자동,3
1110,서울특별시 종로구 청운효자동,6
1111,서울특별시 종로구 청운효자동,6
1112,서울특별시 종로구 청운효자동,6
1113,서울특별시 종로구 사직동,5
1114,서울특별시 종로구 사직동,5
1115,서울특별시 종로구 사직동,6
1116,서울특별시 종로구 사직동,6
1117,서울특별시 종로구 종로1.2.3.4가동,7
1118,서울특별시 종로구 종로1.2.3.4가동,8
1120,서울특별시 종로구 사직동,6
1121,서울특별시 종로구 사직동,19
1122,서울특별시 종로구 사직동,19
1123,서울특별시 종로구 사직동,16
1124,서울특별시 종로구 사직동,4
1125,서울특별시 종로구 사직동,13
1126,서울특별시 종로구 사직동,13
1127,서울특별시 종로구 사직동,8
1128,서울특별시 종로구 사직동,8
1129,서울특별시 종로구 사직동,5
1130,서울특별시 종로구 삼청동,6
1131,서울특별시 종로구 삼청동,5
1132,서울특별시 종로구 부암동,4
1133,서울특별시 종로구 부암동,7
1134,서울특별시 종로구 부암동,3
1135,서울특별시 종로구 부암동,2
1136,서울특별시 종로구 부암동,6
1137,서울특별시 종로구 부암동,6
1138,서울특별시 종로구 부암동,3
1139,서울특별시 종로구 부암동,3
1140,서울특별시 종로구 부암동,6
1141,서울특별시 종로구 부암동,6
1142,서울특별시 종로구 부암동,4
1143,서울특별시 종로구 부암동,4
1144,서울특별시 종로구 부암동,7
1146,서울특별시 종로구 부암동,4
